,MY-상하위 5% 제거,,MY-상하위 1% 제거,,FF-Official,,,,
date,SMB-1Q,HML-1Q,SMB-100Q,HML-100Q,SMB-FF,HML-FF,,"상관계수 btw 1Q, FF",
1987-06-30,-0.698322263,0.407376041,-0.679222654,0.3798674,-2.12,1.04,,SMB,-0.278278613
1987-07-31,-0.287306901,0.271592396,-0.307054877,0.291003452,-0.66,0.73,,HML,-0.710028655
1987-08-31,-0.715743604,0.057583263,-0.610663767,0.026664596,-0.77,-0.95,,,
1987-09-30,0.063958118,0.258051624,0.066219887,0.2605222,0.56,0.3,,"1-lag 상관계수 btw 1Q, FF",
1987-10-31,0.29563047,-2.517359713,0.258281948,-2.422364247,-8.4,4.23,,SMB,0.069391793
1987-11-30,0.457609256,-0.757742622,0.558150424,-0.721389019,2.75,2.96,,HML,-0.198348696
1987-12-31,-1.73523399,1.954076261,-1.582515563,1.847062578,0.12,-4.39,,,
1988-01-31,0.239778343,-1.371056711,0.186272376,-1.390352637,-0.76,4.95,,,
1988-02-29,-0.919106932,0.4439884,-0.864173873,0.510170253,3.34,-1.69,,"상관계수 btw 100Q, FF",
1988-03-31,0.379952985,0.68938031,0.29174306,0.812825751,6.14,0.74,,SMB,-0.298781179
1988-04-30,-0.087657994,-0.026958709,-0.034100782,-0.04124745,0.98,1.63,,HML,-0.694912524
1988-05-31,0.053778445,-0.486128898,0.082528201,-0.460288641,-2.61,2.42,,"1-lag 상관계수 btw 100Q, FF",
1988-06-30,-1.349918852,1.336068966,-1.23513998,1.222869123,2.1,-1.22,,SMB,-0.114550624
1988-07-31,0.321844128,-0.531537934,0.287593291,-0.499664228,-0.26,2.17,,HML,-0.200367304
1988-08-31,0.097028473,-0.623192448,0.182709949,-0.5509142,0.04,2.1,,,
1988-09-30,-0.398647313,0.285201728,-0.441135998,0.269702891,-1.3,-0.75,,,
1988-10-31,-0.317774617,-0.441311396,-0.240371463,-0.296663666,-2.92,1.69,,,
1988-11-30,-0.261231134,-0.063819832,-0.15739107,-0.08551644,-1.71,1.3,,,
1988-12-31,-0.263579666,0.653865657,-0.292857399,0.698767752,1.97,-1.61,,,
1989-01-31,-0.240945504,0.01902095,-0.220374088,0.034795433,-2.22,0.62,,,
1989-02-28,0.04651059,-0.154441292,0.022527104,-0.111412518,2.82,0.93,,,
1989-03-31,-0.152549591,0.032703305,-0.220897418,0.055291051,0.67,0.54,,,
1989-04-30,-0.579683313,0.438628738,-0.561891755,0.436418852,-0.68,-1.4,,,
1989-05-31,-0.70653228,0.159265136,-0.697984581,0.184772445,-0.05,-0.87,,,
1989-06-30,-0.214254393,0.045213612,-0.146719876,0.052213775,-1.02,2.23,,,
1989-07-31,-0.926732611,0.486520397,-0.842784807,0.413260718,-4.16,-2.79,,,
1989-08-31,-0.257973187,0.100236682,-0.241049194,0.028390449,0.56,0.6,,,
1989-09-30,0.080526889,0.732878557,0.112040874,0.578372763,0.32,-1.27,,,
1989-10-31,0.324758711,0.2894034,0.36013939,0.157929088,-3.24,-1.11,,,
1989-11-30,-0.361457462,0.748984343,-0.23372989,0.613089673,-1.24,-1.09,,,
1989-12-31,-0.286111414,0.811708819,-0.232510459,0.702371465,-2.37,0.16,,,
